Time,T_BL100,MF_BL100,Rho_BL100,T_Cori,MF_Cori,Rho_Cori,DP
15.53.57.5,27.6412353515625,2.0198073387145996,1022.1544799804688,25.41499137878418,1.6894220113754272,1002.7291259765625,2.0341131687164307
15.53.58.0,27.6412353515625,2.0196218490600586,1022.1505126953125,25.408096313476562,1.6890780925750732,1002.9067993164062,2.0382111072540283
15.53.58.5,27.55096435546875,2.019404411315918,1022.1714477539062,25.40580177307129,1.6891794204711914,1003.0140380859375,2.0323257446289062
15.53.59.0,27.7314453125,2.019191026687622,1022.1433715820312,25.41729164123535,1.6891403198242188,1002.7608032226562,2.02211856842041
15.53.59.6,27.6412353515625,2.018951177597046,1022.1439819335938,25.408096313476562,1.6886307001113892,1002.8681030273438,2.0218656063079834
15.54.00.1,27.82177734375,2.018686532974243,1022.1541137695312,25.412694931030273,1.687503457069397,1002.9419555664062,2.0224692821502686
15.54.00.6,27.82177734375,2.018409013748169,1022.146728515625,25.40120506286621,1.687380313873291,1002.9771118164062,2.026991605758667
15.54.01.1,27.55096435546875,2.0181148052215576,1022.152099609375,25.412694931030273,1.6875813007354736,1002.7537841796875,2.0245590209960938
15.54.01.6,27.6412353515625,2.0178298950195312,1022.1541137695312,25.40580177307129,1.6878235340118408,1002.9102783203125,2.0240859985351562
15.54.02.1,27.7314453125,2.0175180435180664,1022.150146484375,25.412694931030273,1.6883327960968018,1002.8681030273438,2.0333094596862793
15.54.02.6,27.9119873046875,2.017181634902954,1022.103759765625,25.41499137878418,1.6876068115234375,1002.96484375,2.0372374057769775
15.54.03.1,27.82177734375,2.0168509483337402,1022.0997924804688,25.403501510620117,1.6875511407852173,1002.7643432617188,2.040703535079956
15.54.03.6,27.82177734375,2.0165188312530518,1022.1041259765625,25.403501510620117,1.6877424716949463,1002.9507446289062,2.0280520915985107
15.54.04.1,27.6412353515625,2.016099452972412,1022.100341796875,25.410396575927734,1.6873353719711304,1002.982421875,2.0349416732788086
15.54.04.6,27.7314453125,2.016251564025879,1022.0969848632812,25.412694931030273,1.6859760284423828,1002.7186279296875,2.035604476928711
15.54.05.1,27.7314453125,2.0168542861938477,1022.1097412109375,25.410396575927734,1.6860692501068115,1002.922607421875,2.0311357975006104
15.54.05.6,27.7314453125,2.016342878341675,1022.1039428710938,25.412694931030273,1.6855303049087524,1002.776611328125,2.0258145332336426
15.54.06.1,27.7314453125,2.0162785053253174,1022.0947875976562,25.412694931030273,1.685023307800293,1002.7572631835938,2.014597177505493
15.54.06.6,27.82177734375,2.0163657665252686,1022.1061401367188,25.412694931030273,1.6847965717315674,1002.9806518554688,2.024249315261841
15.54.07.1,27.82177734375,2.0163989067077637,1022.094970703125,25.408096313476562,1.6845309734344482,1002.9700927734375,2.0229485034942627
15.54.07.6,27.7314453125,2.016420841217041,1022.0878295898438,25.40120506286621,1.6848841905593872,1002.8346557617188,2.023247241973877
15.54.08.1,27.7314453125,2.0165481567382812,1022.1007690429688,25.40580177307129,1.6855275630950928,1002.9736328125,2.017066240310669
15.54.08.6,27.6412353515625,2.016587495803833,1022.0965576171875,25.412694931030273,1.6861073970794678,1002.7537841796875,2.019158124923706
15.54.09.1,27.55096435546875,2.0166313648223877,1022.0997924804688,25.408096313476562,1.6862238645553589,1002.878662109375,2.036893367767334
15.54.09.6,27.7314453125,2.016660690307617,1022.0946044921875,25.410396575927734,1.6864465475082397,1002.9912109375,2.0349297523498535
15.54.10.1,27.6412353515625,2.016653299331665,1022.113525390625,25.41499137878418,1.6868458986282349,1002.7695922851562,2.0312983989715576
15.54.10.6,27.55096435546875,2.0169057846069336,1022.1828002929688,25.410396575927734,1.6864861249923706,1002.9595336914062,2.040112018585205
15.54.11.1,27.7314453125,2.0175251960754395,1022.1475219726562,25.41499137878418,1.687380313873291,1002.975341796875,2.041301727294922
15.54.11.6,27.6412353515625,2.017986297607422,1022.1580810546875,25.40580177307129,1.6877760887145996,1002.9296264648438,2.033245086669922
15.54.12.1,27.55096435546875,2.0184106826782227,1022.1614990234375,25.410396575927734,1.6878799200057983,1002.9437255859375,2.0316519737243652
15.54.12.6,27.55096435546875,2.018789529800415,1022.1642456054688,25.412694931030273,1.688694953918457,1002.8681030273438,2.0419349670410156
15.54.13.1,27.55096435546875,2.0191102027893066,1022.1493530273438,25.40580177307129,1.6886245012283325,1002.7537841796875,2.031869888305664
15.54.13.6,27.6412353515625,2.0193848609924316,1022.1632690429688,25.410396575927734,1.6889399290084839,1002.8575439453125,2.02260160446167
15.54.14.1,27.82177734375,2.0196030139923096,1022.1686401367188,25.410396575927734,1.6896026134490967,1002.785400390625,2.032550096511841
15.54.14.6,27.7314453125,2.0196800231933594,1022.15771484375,25.39890480041504,1.689621090888977,1002.8487548828125,2.0492334365844727
15.54.15.1,27.7314453125,2.0197417736053467,1022.1533203125,25.410396575927734,1.6898674964904785,1002.982421875,2.0652055740356445
15.54.15.6,27.460693359375,2.0197839736938477,1022.1686401367188,25.408096313476562,1.689957857131958,1002.9155883789062,2.060214042663574
15.54.16.1,27.55096435546875,2.019793748855591,1022.170654296875,25.410396575927734,1.690137267112732,1002.869873046875,2.0622239112854004
15.54.16.6,27.7314453125,2.019660234451294,1022.1415405273438,25.412694931030273,1.6902105808258057,1002.9595336914062,2.0436086654663086
15.54.17.1,27.6412353515625,2.0194292068481445,1022.1001586914062,25.40580177307129,1.690524697303772,1002.7203369140625,2.0424845218658447
15.54.17.6,27.7314453125,2.019214153289795,1022.1129150390625,25.412694931030273,1.69021737575531,1002.9736328125,2.0476272106170654
15.54.18.1,27.7314453125,2.0183639526367188,1022.093994140625,25.410396575927734,1.689706802368164,1003.0017700195312,2.037794351577759
15.54.18.6,27.7314453125,2.016486883163452,1022.1146850585938,25.412694931030273,1.6892685890197754,1002.8258666992188,2.0355241298675537
15.54.19.1,27.6412353515625,2.014796495437622,1022.1041259765625,25.412694931030273,1.6880719661712646,1002.9454956054688,2.023719072341919
